               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  58,             0.04154,             0.11417,            0.011033,           0.0022842,            0.027181,           0.0011953,          0.00025207,             0.10185,             0.29724,             0.02129,            0.004357,            0.004357,            0.004357
                  59,            0.041437,             0.11408,            0.011022,           0.0022854,             0.02715,           0.0011962,          0.00025272,             0.10191,             0.29726,             0.02133,            0.004258,            0.004258,            0.004258
                  60,            0.041316,             0.11395,            0.010952,           0.0023013,            0.027316,           0.0012044,          0.00025395,             0.10195,             0.29743,            0.021366,            0.004159,            0.004159,            0.004159
                  61,            0.041088,             0.11333,            0.010963,           0.0022925,            0.027183,           0.0011998,          0.00025456,             0.10197,             0.29766,            0.021421,             0.00406,             0.00406,             0.00406
                  62,            0.041262,             0.11356,             0.01093,           0.0023113,            0.027385,           0.0012102,          0.00025601,             0.10198,             0.29805,            0.021458,            0.003961,            0.003961,            0.003961
                  63,            0.041002,             0.11284,            0.010873,           0.0022985,            0.027166,           0.0012037,          0.00025616,             0.10199,             0.29851,            0.021467,            0.003862,            0.003862,            0.003862
                  64,            0.040952,             0.11257,            0.010824,           0.0022785,            0.026893,           0.0011926,          0.00025441,             0.10202,             0.29886,            0.021488,            0.003763,            0.003763,            0.003763
                  65,             0.04089,              0.1127,            0.010801,            0.002281,            0.026917,           0.0011929,          0.00025469,             0.10205,             0.29914,            0.021489,            0.003664,            0.003664,            0.003664
                  66,            0.040768,              0.1124,            0.010752,             0.00228,             0.02684,           0.0011911,          0.00025518,             0.10209,             0.29935,            0.021499,            0.003565,            0.003565,            0.003565
                  67,            0.040706,             0.11199,            0.010709,           0.0022856,            0.026884,           0.0011943,          0.00025602,             0.10213,             0.29976,            0.021536,            0.003466,            0.003466,            0.003466
                  68,            0.040566,             0.11206,            0.010663,           0.0022902,            0.026905,           0.0011967,          0.00025498,             0.10213,             0.30031,             0.02155,            0.003367,            0.003367,            0.003367
                  69,            0.040533,             0.11159,            0.010629,           0.0022883,            0.026874,           0.0011947,          0.00025514,             0.10216,             0.30055,            0.021581,            0.003268,            0.003268,            0.003268
                  70,            0.040365,              0.1113,            0.010593,           0.0022862,            0.026783,           0.0011939,          0.00025529,             0.10218,             0.30084,            0.021607,            0.003169,            0.003169,            0.003169
                  71,            0.040264,             0.11124,            0.010536,           0.0022815,            0.026674,           0.0011912,          0.00025588,              0.1022,             0.30118,            0.021618,             0.00307,             0.00307,             0.00307
                  72,            0.040168,             0.11068,            0.010436,           0.0022993,            0.026786,           0.0012012,          0.00025728,             0.10223,             0.30157,            0.021627,            0.002971,            0.002971,            0.002971
                  73,             0.04016,              0.1103,            0.010471,           0.0022811,            0.026534,           0.0011918,           0.0002556,             0.10225,             0.30185,            0.021639,            0.002872,            0.002872,            0.002872
                  74,            0.040032,             0.10997,            0.010369,           0.0022919,            0.026615,           0.0011971,          0.00025763,             0.10229,             0.30214,            0.021661,            0.002773,            0.002773,            0.002773
